symbol,date,open,high,low,close,volume,adjclose,splits
GBR,2016-06-13,2.440000057220459,2.680000066757202,1.690000057220459,1.7999999523162842,551600,1.7999999523162842,0.0
GBR,2016-06-14,2.0999999046325684,2.1500000953674316,1.690000057220459,1.840000033378601,147100,1.840000033378601,0.0
GBR,2016-06-15,1.8899999856948853,2.25,1.7400000095367432,1.8899999856948853,560800,1.8899999856948853,0.0
GBR,2016-06-16,1.899999976158142,1.899999976158142,1.5499999523162842,1.600000023841858,137300,1.600000023841858,0.0
GBR,2016-06-17,1.6799999475479126,1.7000000476837158,1.6100000143051147,1.6200000047683716,60600,1.6200000047683716,0.0
GBR,2016-06-20,1.6200000047683716,1.6699999570846558,1.5499999523162842,1.6699999570846558,104200,1.6699999570846558,0.0
GBR,2016-06-21,1.6699999570846558,1.6699999570846558,1.5499999523162842,1.559999942779541,97000,1.559999942779541,0.0
GBR,2016-06-22,1.559999942779541,1.5800000429153442,1.5,1.5099999904632568,38700,1.5099999904632568,0.0
GBR,2016-06-23,1.5099999904632568,1.5099999904632568,1.3700000047683716,1.4500000476837158,169700,1.4500000476837158,0.0
GBR,2016-06-24,1.2899999618530273,1.4500000476837158,1.2899999618530273,1.3700000047683716,58800,1.3700000047683716,0.0
GBR,2016-06-27,1.350000023841858,1.440000057220459,1.2400000095367432,1.3799999952316284,251000,1.3799999952316284,0.0
GBR,2016-06-28,1.3700000047683716,3.2899999618530273,1.3700000047683716,2.380000114440918,7840000,2.380000114440918,0.0
GBR,2016-06-29,2.5,2.799999952316284,2.2699999809265137,2.2899999618530273,3811800,2.2899999618530273,0.0
GBR,2016-06-30,2.2899999618530273,2.2899999618530273,1.75,1.809999942779541,465100,1.809999942779541,0.0
GBR,2016-07-01,1.8200000524520874,2.549999952316284,1.8200000524520874,2.2799999713897705,1656800,2.2799999713897705,0.0
GBR,2016-07-05,2.4600000381469727,2.4600000381469727,1.9299999475479126,2.1600000858306885,341200,2.1600000858306885,0.0
GBR,2016-07-06,2.130000114440918,2.490000009536743,2.049999952316284,2.259999990463257,654600,2.259999990463257,0.0
GBR,2016-07-07,2.2100000381469727,2.3299999237060547,2.0999999046325684,2.200000047683716,184900,2.200000047683716,0.0
GBR,2016-07-08,2.1600000858306885,2.200000047683716,2.0,2.1600000858306885,122300,2.1600000858306885,0.0
GBR,2016-07-11,2.200000047683716,2.200000047683716,2.0299999713897705,2.0399999618530273,107800,2.0399999618530273,0.0
GBR,2016-07-12,2.180000066757202,2.180000066757202,2.049999952316284,2.109999895095825,85400,2.109999895095825,0.0
GBR,2016-07-13,2.109999895095825,2.4200000762939453,2.0999999046325684,2.0999999046325684,327000,2.0999999046325684,0.0
GBR,2016-07-14,2.119999885559082,2.180000066757202,2.009999990463257,2.0199999809265137,79900,2.0199999809265137,0.0
GBR,2016-07-15,2.009999990463257,2.069999933242798,2.009999990463257,2.059999942779541,41300,2.059999942779541,0.0
GBR,2016-07-18,2.059999942779541,2.2200000286102295,2.0299999713897705,2.0399999618530273,102500,2.0399999618530273,0.0
GBR,2016-07-19,2.0999999046325684,2.0999999046325684,1.809999942779541,1.8799999952316284,112800,1.8799999952316284,0.0
GBR,2016-07-20,1.7999999523162842,2.059999942779541,1.7400000095367432,1.9600000381469727,109100,1.9600000381469727,0.0
GBR,2016-07-21,1.9700000286102295,2.0999999046325684,1.8899999856948853,1.940000057220459,120800,1.940000057220459,0.0
GBR,2016-07-22,2.0399999618530273,6.099999904632568,2.0,4.860000133514404,19087500,4.860000133514404,0.0
GBR,2016-07-25,5.400000095367432,5.800000190734863,3.559999942779541,4.0,2926200,4.0,0.0
GBR,2016-07-26,3.7699999809265137,4.199999809265137,3.299999952316284,3.690000057220459,888800,3.690000057220459,0.0
GBR,2016-07-27,3.569999933242798,3.7200000286102295,3.069999933242798,3.069999933242798,609300,3.069999933242798,0.0
GBR,2016-07-28,3.0,4.389999866485596,2.859999895095825,4.21999979019165,2794700,4.21999979019165,0.0
GBR,2016-07-29,3.9200000762939453,4.190000057220459,3.7200000286102295,3.940000057220459,1626000,3.940000057220459,0.0
GBR,2016-08-01,3.990000009536743,4.190000057220459,3.619999885559082,3.819999933242798,1077200,3.819999933242798,0.0
GBR,2016-08-02,3.7699999809265137,3.799999952316284,2.950000047683716,3.0799999237060547,986900,3.0799999237060547,0.0
GBR,2016-08-03,3.109999895095825,3.390000104904175,3.0199999809265137,3.180000066757202,546500,3.180000066757202,0.0
GBR,2016-08-04,3.009999990463257,4.050000190734863,3.009999990463257,3.3299999237060547,2414700,3.3299999237060547,0.0
GBR,2016-08-05,3.369999885559082,3.799999952316284,3.299999952316284,3.509999990463257,1491100,3.509999990463257,0.0
GBR,2016-08-08,3.740000009536743,3.759999990463257,3.1500000953674316,3.359999895095825,695800,3.359999895095825,0.0
GBR,2016-08-09,3.4000000953674316,3.4800000190734863,3.25,3.3299999237060547,76000,3.3299999237060547,0.0
GBR,2016-08-10,3.25,3.259999990463257,3.049999952316284,3.1600000858306885,140500,3.1600000858306885,0.0
GBR,2016-08-11,3.2799999713897705,3.450000047683716,3.0899999141693115,3.4000000953674316,275200,3.4000000953674316,0.0
GBR,2016-08-12,3.869999885559082,5.699999809265137,3.700000047683716,3.940000057220459,8761400,3.940000057220459,0.0
GBR,2016-08-15,4.0,4.050000190734863,3.4000000953674316,3.5299999713897705,613700,3.5299999713897705,0.0
GBR,2016-08-16,3.5999999046325684,4.360000133514404,3.5,3.9200000762939453,1593400,3.9200000762939453,0.0
GBR,2016-08-17,3.859999895095825,4.099999904632568,3.630000114440918,3.7699999809265137,237300,3.7699999809265137,0.0
GBR,2016-08-18,3.809999942779541,5.650000095367432,3.809999942779541,4.190000057220459,4423200,4.190000057220459,0.0
GBR,2016-08-19,4.210000038146973,4.730000019073486,4.010000228881836,4.130000114440918,1350400,4.130000114440918,0.0
GBR,2016-08-22,4.019999980926514,4.420000076293945,4.010000228881836,4.179999828338623,183700,4.179999828338623,0.0
GBR,2016-08-23,4.21999979019165,4.380000114440918,4.059999942779541,4.150000095367432,451900,4.150000095367432,0.0
GBR,2016-08-24,4.099999904632568,4.199999809265137,3.880000114440918,3.9000000953674316,185700,3.9000000953674316,0.0
GBR,2016-08-25,3.9000000953674316,4.590000152587891,3.9000000953674316,4.480000019073486,1195900,4.480000019073486,0.0
GBR,2016-08-26,4.599999904632568,5.25,4.110000133514404,4.210000038146973,2285000,4.210000038146973,0.0
GBR,2016-08-29,4.320000171661377,4.71999979019165,4.099999904632568,4.429999828338623,682800,4.429999828338623,0.0
GBR,2016-08-30,4.639999866485596,4.699999809265137,4.300000190734863,4.329999923706055,194500,4.329999923706055,0.0
GBR,2016-08-31,4.590000152587891,4.829999923706055,4.239999771118164,4.460000038146973,504400,4.460000038146973,0.0
GBR,2016-09-01,4.349999904632568,4.619999885559082,4.349999904632568,4.590000152587891,398500,4.590000152587891,0.0
GBR,2016-09-02,4.570000171661377,4.809999942779541,4.53000020980835,4.650000095367432,1128600,4.650000095367432,0.0
GBR,2016-09-06,4.630000114440918,5.050000190734863,4.630000114440918,4.809999942779541,838100,4.809999942779541,0.0
GBR,2016-09-07,4.989999771118164,5.199999809265137,4.679999828338623,4.75,1586800,4.75,0.0
GBR,2016-09-08,4.889999866485596,4.929999828338623,4.699999809265137,4.699999809265137,275500,4.699999809265137,0.0
GBR,2016-09-09,4.699999809265137,4.889999866485596,4.400000095367432,4.53000020980835,275500,4.53000020980835,0.0
GBR,2016-09-12,4.409999847412109,4.739999771118164,4.360000133514404,4.559999942779541,141300,4.559999942779541,0.0
GBR,2016-09-13,4.579999923706055,4.699999809265137,4.360000133514404,4.360000133514404,142500,4.360000133514404,0.0
GBR,2016-09-14,4.360000133514404,4.429999828338623,4.179999828338623,4.199999809265137,155800,4.199999809265137,0.0
GBR,2016-09-15,4.309999942779541,4.309999942779541,3.859999895095825,3.940000057220459,217900,3.940000057220459,0.0
